"city","lat","lng","country","iso2","admin_name","capital","population","population_proper",
"Tehran","35.7000","51.4167","Iran","IR","Tehrān","primary","13633000","9033003",
"Mashhad","36.3069","59.6042","Iran","IR","Khorāsān",-"e","Raẕavī","admin","3001184","3001184",
"Esfahan","32.6447","51.6675","Iran","IR","Eşfahān","admin","1756126","1756126",
"Karaj","35.8327","50.9915","Iran","IR","Alborz","admin","1592492","1592492",
"Tabriz","38.0833","46.2833","Iran","IR","Āz̄arbāyjān",-"e","Sharqī","admin","1558693","1558693",
"Shirazz","29.6100","52.5425","Iran","IR","Fārs","admin","1460665","1460665",
"Qom","34.6461","50.8789","Iran","IR","Qom","admin","1201158","1201158",
"Ahvaz","31.3203","48.6692","Iran","IR","Khūzestān","admin","1184788","1184788",
"Kermanshah","34.3167","47.0686","Iran","IR","Kermānshāh","admin","851405","851405",
"Orumiyeh","37.5500","45.1000","Iran","IR","Āz̄arbāyjān",-"e","Gharbī","admin","736224","736224",
"Rasht","37.2833","49.6000","Iran","IR","Gīlān","admin","639951","639951",
"Kerman","30.2833","57.0667","Iran","IR","Kermān","admin","573449","573449",
"Zahedan","29.4833","60.8667","Iran","IR","Sīstān","va","Balūchestān","admin","560725","560725",
"Eslamshahr","35.5333","51.2000","Iran","IR","Tehrān","minor","548620","548620",
"Hamadan","34.8065","48.5162","Iran","IR","Hamadān","admin","528256","330",
"Yazd","31.8972","54.3678","Iran","IR","Yazd","admin","486152","486152",
"Arak","34.0800","49.7000","Iran","IR","Markazī","admin","484212","484212",
"Ardabil","38.2500","48.3000","Iran","IR","Ardabīl","admin","482632","482632",
